GeoType;GEOID;name;TotalPop;happening;happeningOppose;real_parthuman;real_parthumanOppose;real_human;real_humanOppose;captrade_bin;captrade_binOppose;carbon_tax_bin;carbon_tax_binOppose
Riding;24076;Trois-Rivieres;73255;86.79;10.041;71.248;28.752;56.805;43.195;71.181;21.608;48.56;43.907
Riding;24077;Ville-Marie-Le Sud-Ouest-Ile-des-Soers;82160;88.722;5.895;74.229;25.771;59.325;40.675;73.412;19.275;65.893;28.541
Riding;24078;Vimy;72505;87.358;8.408;71.41;28.59;57.179;42.821;71.617;20.744;54.01;39.246
Riding;35001;Ajax;86100;80.929;14.012;66.021;33.979;46.864;53.136;66.511;26.211;49.317;44.03
Riding;35002;Algoma-Manitoulin-Kapuskasing;64010;77.386;16.37;55.534;44.466;41.758;58.242;66.624;26.286;43.908;49.181
Riding;35003;Aurora-Oak Ridges-Richmond Hill;82320;81.458;13.167;67.433;32.567;47.1;52.9;66.098;25.939;53.127;40.043
Riding;35004;Barrie-Innisfil;78595;72.829;18.666;53.683;46.317;39.185;60.815;62.367;29.727;43.85;48.726
Riding;35005;Barrie-Springwater-Oro-Medonte;79845;76.797;16.647;60.505;39.495;43.179;56.821;64.051;28.276;46.472;46.053
Riding;35006;Bay of Quinte;90245;77.89;15.876;60.926;39.074;44.283;55.717;64.402;27.756;47.3;45.541
Riding;35007;Beaches-East York;87130;86.553;8.388;72.961;27.039;55.172;44.828;71.255;21.376;62.423;31.139
Riding;35008;Brampton Centre;83015;81;13.299;64.896;35.104;46.166;53.834;65.847;25.907;52.183;40.483
Riding;35009;Brampton East;74835;88.769;7.796;75.449;24.551;54.103;45.897;70.173;21.03;63.663;29.884
Riding;35010;Brampton North;88105;82.27;12.641;67.683;32.317;46.489;53.511;65.788;25.591;52.171;40.751
Riding;35011;Brampton South;85030;82.18;12.1;65.574;34.426;47.174;52.826;66.437;25.042;53.602;39.597
Riding;35012;Brampton West;75710;81.968;12.211;66.021;33.979;48.754;51.246;67.341;24.848;52.684;39.91
Riding;35013;Brantford-Brant;105710;79.328;14.807;61.951;38.049;44.881;55.119;65.283;26.864;49.426;43.208
Riding;35014;Bruce-Grey-Owen Sound;87330;74.469;18.206;56.571;43.429;38.507;61.493;62.983;29.209;44.829;48.324
Riding;35015;Burlington;100745;77.265;16.585;63.051;36.949;44.365;55.635;64.592;28.149;45.824;47.797
Riding;35016;Cambridge;89120;76.428;16.713;56.711;43.289;42.22;57.78;64.063;28.157;44.857;48.226
Riding;35017;Chatham-Kent-Leamington;88330;74.165;18.576;56.285;43.715;41.371;58.629;63.365;29.143;40.584;52.859
Riding;35018;Davenport;88495;86.071;8.582;71.466;28.534;56.45;43.55;71.828;20.977;59.866;33.397
Riding;35019;Don Valley East;76850;82.96;10.716;69.144;30.856;50.467;49.533;68.537;23.553;58.322;34.245
Riding;35020;Don Valley North;87890;83.851;9.824;68.533;31.467;50.01;49.99;68.565;23.064;60.329;33.05
Riding;35021;Don Valley West;80075;82.896;10.692;66.897;33.103;48.807;51.193;67.995;24.003;62.349;30.562
Riding;35022;Dufferin-Caledon;91975;74.489;18.608;58.096;41.904;41.482;58.518;63.027;29.592;42.615;49.646
Riding;35023;Durham;91450;76.477;16.922;59.791;40.209;43.27;56.73;63.979;28.512;45.568;46.833
Riding;35024;Eglinton-Lawrence;90200;80.426;11.778;63.995;36.005;47.038;52.962;66.912;24.841;57.431;35.871
